ISSUE_DATE,ISSUE_DATE,ID,ISSUE_DATE,PERMIT#
2006,1,259,259,259
2006,2,305,305,305
2006,3,361,361,361
2006,4,309,309,309
2006,5,299,299,299
2006,6,235,235,235
2006,7,222,222,222
2006,8,344,344,344
2006,9,286,286,286
2006,10,298,298,298
2006,11,243,243,243
2006,12,203,203,203
2007,1,197,197,197
2007,2,159,159,159
2007,3,196,196,196
2007,4,177,177,177
2007,5,211,211,211
2007,6,256,256,256
2007,7,215,215,215
2007,8,226,226,226
2007,9,214,214,214
2007,10,201,201,201
2007,11,222,222,222
2007,12,166,166,166
2008,1,127,127,127
2008,2,111,111,111
2008,3,105,105,105
2008,4,125,125,125
2008,5,104,104,104
2008,6,89,89,89
2008,7,145,145,145
2008,8,138,138,138
2008,9,134,134,134
2008,10,168,168,168
2008,11,95,95,95
2008,12,75,75,75
2009,1,47,47,47
2009,2,45,45,45
2009,3,83,83,83
2009,4,49,49,49
2009,5,63,63,63
2009,6,91,91,91
2009,7,88,88,88
2009,8,61,61,61
2009,9,95,95,95
2009,10,77,77,77
2009,11,50,50,50
2009,12,53,53,53
2010,1,28,28,28
2010,2,39,39,39
2010,3,45,45,45
2010,4,61,61,61
2010,5,80,80,80
2010,6,75,75,75
2010,7,76,76,76
2010,8,95,95,95
2010,9,78,78,78
2010,10,81,81,81
2010,11,59,59,59
2010,12,33,33,33
2011,1,31,31,31
2011,2,30,30,30
2011,3,51,51,51
2011,4,65,65,65
2011,5,51,51,51
2011,6,101,101,101
2011,7,86,86,86
2011,8,84,84,84
2011,9,94,94,94
2011,10,66,66,66
2011,11,67,67,67
2011,12,56,56,56
2012,1,53,53,53
2012,2,38,38,38
2012,3,65,65,65
2012,4,74,74,74
2012,5,110,110,110
2012,6,121,121,121
2012,7,127,127,127
2012,8,103,103,103
2012,9,85,85,85
2012,10,115,115,115
2012,11,79,79,79
2012,12,64,64,64
2013,1,64,64,64
2013,2,87,87,87
2013,3,101,101,101
2013,4,125,125,125
2013,5,162,162,162
2013,6,146,146,146
2013,7,158,158,158
2013,8,120,120,120
2013,9,140,140,140
2013,10,162,162,162
2013,11,105,105,105
2013,12,105,105,105
2014,1,77,77,77
2014,2,98,98,98
2014,3,91,91,91
2014,4,129,129,129
2014,5,179,179,179
2014,6,155,155,155
2014,7,184,184,184
2014,8,161,161,161
2014,9,170,170,170
2014,10,207,207,207
2014,11,106,106,106
2014,12,98,98,98
2015,1,63,63,63
2015,2,74,74,74
2015,3,109,109,109
2015,4,138,138,138
2015,5,149,149,149
2015,6,166,166,166
2015,7,205,205,205
2015,8,170,170,170
2015,9,218,218,218
2015,10,179,179,179
2015,11,146,146,146
2015,12,114,114,114
2016,1,79,79,79
2016,2,107,107,107
2016,3,131,131,131
2016,4,133,133,133
2016,5,176,176,176
2016,6,208,208,208
2016,7,193,193,193
2016,8,200,200,200
2016,9,242,242,242
2016,10,158,158,158
2016,11,137,137,137
2016,12,112,112,112
2017,1,84,84,84
2017,2,86,86,86
2017,3,148,148,148
2017,4,137,137,137
2017,5,144,144,144
2017,6,209,209,209
2017,7,173,173,173
2017,8,218,218,218
2017,9,225,225,225
2017,10,194,194,194
2017,11,125,125,125
2017,12,114,114,114
2018,1,70,70,70
2018,2,88,88,88
2018,3,135,135,135
2018,4,143,143,143
2018,5,192,192,192
2018,6,190,190,190
2018,7,231,231,231
2018,8,222,222,222
2018,9,200,200,200
2018,10,166,166,166
2018,11,104,104,104
2018,12,72,72,72
2019,1,70,70,70
2019,2,80,80,80
2019,3,91,91,91
2019,4,133,133,133
2019,5,162,162,162
2019,6,165,165,165
2019,7,192,192,192
2019,8,181,181,181
2019,9,178,178,178
2019,10,161,161,161
2019,11,114,114,114
2019,12,104,104,104
2020,1,89,89,89
2020,2,95,95,95
2020,3,94,94,94
2020,4,103,103,103
2020,5,81,81,81
2020,6,90,90,90
2020,7,91,91,91
2020,8,121,121,121
2020,9,117,117,117
2020,10,102,102,102
2020,11,91,91,91
2020,12,79,79,79
2021,1,77,77,77
2021,2,72,72,72
2021,3,106,106,106
