id,date
1,3/1/06
2,4/1/06
3,5/1/06
4,6/1/06
5,7/1/06
6,8/1/06
7,9/1/06
8,10/1/06
9,11/1/06
10,12/1/06
11,1/1/07
12,2/1/07
13,3/1/07
14,4/1/07
15,5/1/07
16,6/1/07
17,7/1/07
18,8/1/07
19,9/1/07
20,10/1/07
21,11/1/07
22,12/1/07
23,1/1/08
24,2/1/08
25,3/1/08
26,4/1/08
27,5/1/08
28,6/1/08
29,7/1/08
30,8/1/08
31,9/1/08
32,10/1/08
33,11/1/08
34,12/1/08
35,1/1/09
36,2/1/09
37,3/1/09
38,4/1/09
39,5/1/09
40,6/1/09
41,7/1/09
42,8/1/09
43,9/1/09
44,10/1/09
45,11/1/09
46,12/1/09
47,1/1/10
48,2/1/10
49,3/1/10
50,4/1/10
51,5/1/10
52,6/1/10
53,7/1/10
54,8/1/10
55,9/1/10
56,10/1/10
57,11/1/10
58,12/1/10
59,1/1/11
60,2/1/11
61,3/1/11
62,4/1/11
63,5/1/11
64,6/1/11
65,7/1/11
66,8/1/11
67,9/1/11
68,10/1/11
69,11/1/11
70,12/1/11
71,1/1/12
72,2/1/12
73,3/1/12
74,4/1/12
75,5/1/12
76,6/1/12
77,7/1/12
78,8/1/12
79,9/1/12
80,10/1/12
81,11/1/12
82,12/1/12
83,1/1/13
84,2/1/13
85,3/1/13
86,4/1/13
87,5/1/13
88,6/1/13
89,7/1/13
90,8/1/13
91,9/1/13
92,10/1/13
93,11/1/13
94,12/1/13
95,1/1/14
96,2/1/14
97,3/1/14
98,4/1/14
99,5/1/14
100,6/1/14
101,7/1/14
102,8/1/14
103,9/1/14
104,10/1/14
105,11/1/14
106,12/1/14
107,1/1/15
108,2/1/15
109,3/1/15
110,4/1/15
111,5/1/15
112,6/1/15
113,7/1/15
114,8/1/15
115,9/1/15
116,10/1/15
117,11/1/15
118,12/1/15
119,1/1/16
120,2/1/16
121,3/1/16
122,4/1/16
123,5/1/16
124,6/1/16
125,7/1/16
126,8/1/16
127,9/1/16
128,10/1/16
129,11/1/16
130,12/1/16
131,1/1/17
132,2/1/17
133,3/1/17
134,4/1/17
135,5/1/17
136,6/1/17
137,7/1/17
138,8/1/17
139,9/1/17
140,10/1/17
141,11/1/17
142,12/1/17
143,1/1/18
144,2/1/18
145,3/1/18
146,4/1/18
147,5/1/18
148,6/1/18
149,7/1/18
150,8/1/18
151,9/1/18
152,10/1/18
153,11/1/18
154,12/1/18
155,1/1/19
156,2/1/19
157,3/1/19
158,4/1/19
159,5/1/19
160,6/1/19
161,7/1/19
162,8/1/19
163,9/1/19
164,10/1/19
165,11/1/19
166,12/1/19
167,1/1/20
168,2/1/20
169,3/1/20
170,4/1/20
171,5/1/20
172,6/1/20
173,7/1/20
174,8/1/20
175,9/1/20
176,10/1/20
177,11/1/20
178,12/1/20
179,1/1/21
180,2/1/21
180,3/1/21
